2071,2067,2020,1950,1898,1890,1930,1996,2054,2073,
2046,1978,1914,1899,1924,1984,2040,2068,2050,1995,
1932,1896,1905,1959,2020,2062,2057,2008,1942,1892,
1888,1931,2001,2067,2082,2060,1998,1937,1913,1933,
1986,2041,2065,2048,1995,1933,1898,1914,1958,2024,
2067,2062,2027,1959,1915,1903,1940,1998,2050,2062,
2033,1971,1916,1896,1927,1990,2055,2084,2058,2006,
1939,1906,1921,1968,2036,2081,2086,2037,1971,1917,
1912,1952,2017,2080,2096,2071,2012,1966,1951,1988,
2050,2116,2140,2113,2046,1969,1935,1954,2016,2087,
2136,2132,2085,2010,1958,1948,1993,2056,2100,2106,
2066,1986,1915,1882,1903,1970,2037,2072,2063,2012,
1949,1909,1918,1969,2038,2083,2082,2035,1963,1918,
1918,1965,2028,2082,2091,2056,1990,1926,1914,1941,
2003,2068,2098,2084,2028,1967,1925,1935,1987,2054,
2100,2100,2062,2001,1962,1972,2026,2113,2186,2210,
2191,2133,2074,2045,2063,2111,2160,2170,2126,2039,
1910,1795,1720,1690,1676,1660,1611,1540,1454,1399,
1394,1440,1507,1568,1603,1611,1586,1574,1598,1664,
1746,1818,1841,1813,1740,1660,1601,1592,1632,1683,
1707,1698,1637,1559,1502,1494,1535,1612,1691,1734,
1738,1716,1703,1725,1787,1880,1970,2026,2032,2002,
1951,1936,1966,2036,2122,2183,2198,2167,2113,2077,
2088,2136,2208,2270,2285,2257,2197,2138,2114,2140,
2198,2262,2299,2285,2236,2170,2142,2148,2201,2266,
2308,2304,2254,2196,2150,2153,2198,2268,2327,2339,
2310,2245,2184,2163,2192,2256,2322,2354,2341,2292,
2236,2208,2221,2276,2340,2380,2373,2325,2261,2217,
2222,2277,2352,2417,2432,2402,2340,2282,2265,2294,
2363,2432,2471,2463,2419,2361,2334,2359,2411,2483,
2526,2525,2478,2418,2373,2373,2422,2494,2554,2572,
2543,2486,2426,2406,2431,2496,2553,2578,2554,2486,
2411,2366,2361,2396,2446,2467,2450,2385,2298,2230,
2211,2234,2283,2318,2311,2262,2182,2110,2075,2089,
2146,2192,2213,2188,2120,2046,2000,2001,2049,2107,
2144,2131,2079,2002,1944,1938,1970,2032,2086,2089,
2050,1990,1929,1908,1938,2000,2061,2087,2068,2009,
1944,1913,1925,1978,2055,2091,2081,2029,1956,1902,
1904,1941,2012,2069,2083,2048,1985,1928,1911,1935,
1998,2063,2094,2076,2024,1960,1927,1943,1998,2070,
2117,2101,2051,1976,1926,1919,1964,2028,2086,2094,
2061,1993,1936,1915,1943,2004,2068,2093,2074,2018,
1948,1919,1929,1990,2055,2102,2095,2045,1973,1923,
1921,1961,2030,2089,2099,2064,1997,1944,1921,1947,
2005,2074,2098,2077,2020,1957,1921,1932,1985,2051,
2094,2087,2037,1968,1917,1916,1956,2028,2082,2096,
2060,1994,1936,1922,1952,2016,2079,2100,2077,2014,
1945,1908,1922,1976,2048,2090,2086,2039,1964,1905,
1895,1922,1984,2029,2040,2004,1940,1886,1865,1894
