Sample,Filtered,Dual_QRS
1751,0,0
1688,0,0
1712,1,0
1747,6,0
1750,22,0
1755,52,0
1803,100,0
1895,169,0
1993,261,0
2102,375,0
2147,511,0
2136,665,0
1922,834,0
1759,1012,0
1712,1193,0
1686,1371,0
1672,1539,0
1731,1691,0
1765,1823,0
1764,1931,0
1740,2011,0
1752,2064,0
1767,2089,0
1766,2086,0
1759,2061,0
1744,2017,0
1744,1961,0
1756,1898,0
1790,1830,0
1791,1762,0
1782,1697,0
1797,1638,0
1833,1589,0
1870,1552,0
1919,1529,0
2001,1519,0
2093,1523,0
1882,1539,0
1865,1564,0
1853,1597,0
1721,1635,0
2362,1678,0
1721,1767,1
2362,1767,1
3076,1767,1
1514,1767,1
1514,1767,1
1858,1808,0
1853,1846,0
1855,1880,0
1900,1907,0
1975,1928,0
2014,1940,0
2054,1943,0
2099,1940,0
2229,1929,0
2329,1914,0
2382,1898,0
2286,1883,0
2012,1871,0
1911,1864,0
1910,1864,0
1910,1869,0
1875,1880,0
1890,1895,0
1915,1912,0
1943,1930,0
1923,1948,0
1914,1964,0
1902,1975,0
1929,1979,0
1969,1978,0
1943,1970,0
1938,1959,0
1933,1943,0
1951,1922,0
1981,1897,0
1992,1870,0
1970,1843,0
1958,1817,0
1963,1795,0
1999,1777,0
2015,1764,0
2088,1757,0
2134,1755,0
2149,1758,0
1949,1766,0
1939,1778,0
1897,1792,0
1561,1812,0
1561,1883,1
3173,1883,1
2502,1883,1
1633,1883,1
1633,1883,1
1827,1906,0
1831,1926,0
1847,1942,0
1895,1953,0
1945,1960,0
1951,1961,0
1998,1958,0
2105,1950,0
2232,1940,0
2348,1927,0
2377,1913,0
2194,1899,0
1934,1887,0
1817,1879,0
1802,1877,0
1782,1880,0
1751,1887,0
1770,1898,0
1779,1907,0
1801,1915,0
1790,1921,0
1750,1924,0
1764,1921,0
1773,1912,0
1792,1898,0
1785,1878,0
1769,1852,0
1779,1823,0
1806,1789,0
1835,1754,0
1827,1718,0
1813,1685,0
1823,1657,0
1850,1634,0
1872,1619,0
1914,1610,0
1975,1609,0
2104,1615,0
1987,1626,0
1855,1642,0
1842,1660,0
1818,1681,0
1689,1702,0
1689,1748,1
3661,1748,1
1573,1748,1
1573,1748,1
1870,1773,0
1798,1797,0
1797,1822,0
1879,1845,0
1919,1866,0
1942,1882,0
1986,1893,0
2040,1899,0
2150,1901,0
2283,1897,0
2375,1891,0
2315,1884,0
2062,1878,0
1904,1874,0
1859,1873,0
1809,1875,0
1800,1883,0
1796,1894,0
1834,1908,0
1864,1920,0
1857,1929,0
1823,1935,0
1824,1937,0
1855,1932,0
